Recipient.Organization,ngotype,year
United Nations Institute for Disarmament Research,,
Norwegian Capacity,,
IHRA,,
Kyrgyzstan,,
The Dui Hua Foundation,,
Vetwork Services Trust,,
GlobalMedic,,
Association Agropastorale de NDA,,
Architectes de l'urgence,,
Yemeni Social Reform Society,,
The SEEP Network,,
UN Department of Economic and Social Affairs,,
American Jewish Joint Distribution Committee,,
Geohazards International,,
Abdel Mohsen Qattan Foundation,,
Community Peace Fund,,
Action for Peace and Sustainable Development,,
Association LRC,,
Gedo Women Development Organization,,
ASSABIL,,
Centre Libanais des Droits Humains,,
Akkar Network for Development,,
Makhzoumi Foundation,,
"Institute for Development, Research, Advocacy and Applied Care",,
Global Family,,
Ministry of Education and Higher Education,,
Hujra Village Support Organization,,
Tunisian Red Crescent,,
European Meeting Centre - Nowy Staw Foundation,,
United Nations Disaster Management Team,,
Jordanian National Commission for Women,,
Myanmar Heart Development Organization,,
Oman,,
NGO Free Ukraine,,
U.S. Forest Service,,
Panama,,
Manos Unidas,,
Asociacion Ben por la Infancia,,
Brigadas Internacionales de Paz,,
Asociación ONGD Cives Mundi,,
Les Amis du Tibet,,
Tajik Aid,,
EU Regional Trust Fund in Response to the Syrian Crisis (Madad Fund),,
Standard Alliance,,
Refugee Studies Centre,,
Islamic Charity Society Center,,
Al-Gharaa Charity Organization,,
Islamic Medical Association,,
Bahrain Islamic Association,,
Young Men’s Christian Association,,
Sharjah Charity House,,
Khalifa Bin Zayed Al Nahyan Foundation,,
United Nations Volunteers Programme,,
Palestinian Housing Council,,
Association for Integrated Rural Development,,
Association for Environment Management and Development,,
"Mission 21, Basle",,
Association pour le Développement de Sila,,
Centre d'Appui aux Initiatives de Développement Local,,
Leprosy Aid Switzerland,,
SDW,,
The New Humanitarian (formerly Integrated Regional Information Network),,
Jiyan Foundation for Human Rights,,
TAJDID Iraq Foundation for Economic Development,,
Al-Khanjar Foundation,,
Culture and Free Thought Association,,
Red Crescent Society of Tajikistan,,
Maison Shalom Ruyigi,,
SUKS - Schweizerisches Unterstützungskomitee für die Sahraouis,,
Hogar de Cristo Santiago,,
Aman Jordanian Association,,
Rwandan Red Cross,,
International Commission for Human Development,,
International Maize and Wheat Improvement Center,,
OIP - Office of the Iraq Programme,,
UNICEF National Committee/Spain,,
Greece,,
Kuwaiti Social Reform Society,,
Union Relief Societies,,
Charity Abrar Society,,
Youth Society,,
Attaa Relief and Development,,
Japanese Organization for International Cooperation in Family Planning (JOICFP),,
Mission Inclusion (formerly Léger Foundation),,
Sri Lankan Merciful,,
Japan,,
Africa Relief Committee,,
Islah Foundation For Society Development,,
Association Elyed Eloulya pour l’Aide des Necessiteux et la Protection des Enfants,,
Nurture and Reform Organization,,
Human Foundation for Social and Educational Development Inc.,,
Buco Cotonou,,
Reach out Foundation for Human Development,,
Fondacioni Miresia,,
Enfants du Monde - Droits de l'Homme,,
International Centre for Migration Policy Development,,
Hungarian Charity Organization of the Order of Malta,,
Hungarian Hydrology Association,,
Consortium for Assistance to Refugees and the Displaced in Indonesia,,
Support Agency for Rural & Human Association's Development,,
Artemisszió Foundation,,
Al-Bir Wa Al-Ehsan Association in Ras AlAin (Al-Bir Wa Al-Ehsan in Ras AlAin),,
Middle East Children’s Institute,,
Greek Orthodox Patriarchate of Antioch and all of the East,,
KFW Development,,
BUKKEHAVE,,
Macedonian Red Cross,,
KSPM-ERP Integration Centre for Migrant Workers – Ecumenical Refugee Program,,
Render Effective Aid to CHildren,,
Development Alternatives Inc.,,
Taiwan Red Cross Society,,
Irish Red Cross Society,,
Al Taalouf Charity Association,,
Dolphin for Development,,
Women's Affairs Center,,
Associazione Solidarietà e lo Sviluppo - Confederazione Italiana Agricoltori,,
Italian Agency for Development Cooperation,,
Argentina,,
Organisation of the Islamic Conference,,
Media Action Intl.,,
Associazione Italiana per la Solidarietà tra I Popoli,,
Tanzania Red Cross National Society,,
ASSIST,,
Liechtenstein Red Cross,,
Italy,,
Association Arbre de Vie,,
Centre for Humanitarian Dialogue,,
Kofi Annan Foundation,,
Comprehensive Health and Education Forum (CHEF) International,,
Namibia,,
Islamic Charity Association - Aoun for relief and Development,,
Humanitarian Outcomes,,
Icelandic Red Cross,,
Kazakhstan,,
Malagasy Red Cross Society,,
Groupe de Secours Catastrophes Francais,,
ACT Alliance / Icelandic Church Aid,,
Icelandic Crisis Response Unit,,
International Potato Center,,
Jamaica Red Cross,,
Bahamas Red Cross Society,,
Partners Turkey,,
Eaux de Marseille (Société des),,
Action d'Urgence International,,
Div. E+CIS,,
Terra Nuova,,
Green Cross,,
NGO Ninez y Vida,,
Sri Lanka Red Cross Society,,
Costa Rican Red Cross,,
Red Cross Society of Panama,,
Florida International University,,
Yasra Food Company,,
City Center Co.,,
John Hopkins University,,
Bahamas,,
Medilor,,
Community Initiative for Sustainable Development Agency,,
Voice of America,,
American Bar Association,,
Portuguese Red Cross,,
Pact Inc.,,
Assisting Marsh Arabs and Refugees,,
Development Associates Inc.,,
Vanuatu Red Cross Society,,
United Nations Department of Peace-Keeping Operations,,
Ministry of Environment and University of Zurich,,
Management and Resources for Community Health,,
BRASCRI,,
Association Rég. d'Appro. en Médicaments Essentiels,,
Digicel Foundation,,
Khadija Foundation for Development,,
Action Solidaire aux Vulnérables,,
Life and Peace Institute,,
Centre de Développement Intégral pour l’Enfant Rural,,
Croix Rouge RDC,,
Humanitaires sans Frontières,,
Intergovernmental Authority on Development,,
Kuwait Foundation for the Advancement of Science,,
ACT Alliance / Community World Service Asia,,
Republic of Korea National Red Cross,,
Korean Sharing Movement,,
"Korean Reconciliation Committee, Archdiocese of Korea",,
World Vision Korea,,
South-North Sharing Campaign for Peace and Reunification,,
UNRWA Spanish Committee,,
Eugene Bell Foundation,,
JTS-Korea,,
ICDP - International Child Development Programme,,
ONUA - HRD,,
Trauma Care Foundation,,
Red Cross Organizations | NGOs | UN Agencies,,
Farmers Integrated Development Association,,
Japan America Society of Southern California,,
Swiss Solidarity,,
Christian Relief Network,,
PTM - Paz y Tercer Mundo,,
United Way of Miami-Dade,,
Samenwerkende Hulporganisaties,,
Foundation Signs,,
Danish Assistance to the Self-Reliance Strategy,,
International Peace Research Institute,,
United Nations Mission of Support in East Timor,,
IUED,,
African Revival Ministries,,
International Alert,,
Stability Pact,,
Solomon Islands,,
Tromso Center for Mine Damages,,
Hellenic Rescue Team,,
Man in Need,,
Diplomat Freight Services,,
Palestinian Human Rights Monitoring Group,,
Centre for International Political Studies,,
Freightco,,
Norsk Luthersk Misjonssamband,,
Health Care and Relief Foundation,,
Maldives,,
Nigeria Humanitarian Fund,,
National Relief Committee,,
Benin,,
Comoros,,
Gambia,,
Center for Humanitarian Services,,
Japan Self Defense Forces,,
Madad Organization,,
Special Representative of the Secretary-General,,
American University of Nigeria,,
Mahavir Overseas,,
Ev. Zentralstelle e.V.,,
Sweden,,
Sentinelles,,
United Nations Foundation,,
Raf-Thani Foundation,,
Integrationsrat,,
Bay Regional Education Committee,,
Yemen Higher Relief Committee,,
Yemen National Committee for Human Rights,,
Regional Developmetn Protection Programme - Horn of Africa,,
Saudi Arabia (Kingdom of),,
Success Initiatives Inc.,,
Portugal,,
Norwegian Pentecostal Movement,,
Amica hilft in Bosnien e.V.,,
Solidarité laique,,
Okedongmu Children in Korea,,
Korean Welfare Foundation,,
Korean Church Federation of Support for North Korea,,
One Buddhism,,
One Korea Buddhist Movement,,
Korea Food for the Hungry International,,
International Corn Foundation,,
National Coalition of NGOs for Inter-Korea Agricultural Development and Cooperation,,
Yemeni Association for relief and development,,
The General Assembly of Presbyterian Church in Korea,,
Association of South-North Kang-Won Province Cooperation,,
Medical Aids for Children of DPRK,,
REACH Initiative,,
Unitad Nacional para la Gestion del Riesgo de Desastres,,
21 Century Unification Service Organization,,
National Agricultural Cooperative Federation,,
Colombia,,
Swiss Rotary Club,,
SHAML - Palestinian Diaspora and Refugee Center,,
University of Hawaii at Manoa,,
"Precise Kit Promotions, Inc.",,
Bioforce,,
METAdrasi – Action for Migration and Development,,
Charitable Association for Giving,,
Spedition TBSG Bremen,,
Catholic Peace Movement,,
Emergencies Unit for Ethiopia,,
School of Tomorrow Ltd,,
Red Cross Society of Georgia,,
ICRC MoveAbility Foundation (former ICRC Special Fund for the Disabled),,
Trust Fund for Human Security,,
Almanara Humanitarian Charitable Society,,
South Darfur Net for HIV/AIDS Campaign,,
HCS,,
King Salman Humanitarian Aid and Relief Center,,
FARM Africa,,
Disaster Prevention and Preparedness Commission Ethiopia,,
Estonian Science Park Tehnopol,,
African Entrepreneur Collective,,
Indego Africa,,
Antigua and Barbuda Red Cross Society,,
Abt Associates,,
Bearing Point,,
Bechtel,,
SSA Marine,,
SkyLink,,
CAII - Creative Associates International,,
MSI,,
Radio SAWA,,
Saint Kitts and Nevis Red Cross Society,,
ADA,,
Bangladesh Red Crescent Society,,
United Nations Voluntary Trust Fund for Victims of Trafficking in Persons,,
Iraqi Handicapped Society,,
Antigua and Barbuda,,
Integrated Rural Development and Nature Conservation,,
Saint Kitts and Nevis,,
Belize,,
Ground Truth Solutions,,
HERE-Geneva,,
Agility,,
Pentecostal Foreign Mission,,
Jemael-international,,
Cavalier Logistics,,
Agriterra,,
American Rescue Committee,,
Rebuild Iraq Recruitment Program | Qatar Red Crescent Society,,
Sustainable Development Foundation,,
George Washington University,,
Grand Challenges Canada,,
Center for Strategic and International Studies,,
Philippine Disaster Resilience Foundation,,
Consejo Superior Universitario Centroamericano,,
Miyamoto International,,
"International Business & Technical Consultants, Inc.",,
Johns Hopkins University,,
NRS Relief,,
La Federación Nacional de Comerciantes,,
JAS Forwarding Worldwide Inc.,,
Ledmark Industries LLC,,
SGS,,
Priority Worldwide Services,,
Lynden Air Cargo,,
Butyl Products Ltd Group,,
Landstar Express America,,
"John S Connor, Inc",,
International Training Inc.,,
Bill and Melinda Gates Foundation,,
Purdue University,,
The Legal Agenda,,
Grupo Sofonias (Switzerland),,
ACT Alliance / Christian Care,,
The Cash Learning Partnership,,
Fondazione “Opera San Francesco Saverio” CUAMM,,
Haitian National Red Cross Society,,
Ceilu,,
"Global Fund to Fight AIDS, Tuberculosis and Malaria",,
Centre for Common Ground in Angola (CCG),,
AIR CHARTER SERVICE,,
Intertek Group plc,,
Stanisława Bieńczak Child Support Foundation (Fundacja Pomocy Dzieciom im. Stanisławy Bieńczak),,
Nahrain International Company,,
Scoop Group,,
Mongolia,,
Mvuramanzi Trust,,
FOSENET - NGO Food Security Network - Zimbabwe,,
GIGnos (consulting company),,
MANNET (consulting company),,
Limmatstiftung Zurich,,
Enfants de Cusco,,
Kobü,,
MEMISA - Action médicale missionnaire,,
Gaza Zakat Committee,,
International Trade Center,,
Fonds voor OntwikkelingsSamenwerking,,
Vijana ya Panda Tujenge,,
Dynasafe International Group,,
Dominican Republic,,
International Humanitarian City,,
Fondation Internationale Carrefour,,
Inter Aide,,
Plan International Mali,,
Mwelekeo Trust,,
"NABA""A",,
Malawi Economic Justice Network,,
Public Affairs Committee,,
Hudec Sedec,,
Hôpital Français de Hanoï,,
Datong,,
Ecuadorian Red Cross,,
Survey Action Center,,
Somalia,,
Aide Médicale  Internationale (until 2010),,
Caritas Sweden,,
Grünhelme,,
International Assistance Mission,,
FXB -  François-Xavier Bagnoud,,
Belgian First Aid and Support Team,,
UNICEF National Committee/United Kingdom,,
Hungarian Red Cross,,
Red Crescent Society of the Islamic Republic of Iran,,
Education Above All Foundation,,
Polish Red Cross,,
"Congo, Republic of",,
Pompiers sans frontières,,
Triangle,,
ISRAELI INFO.CNTR.HUMAN RIGHTS (B-TSELEM),,
ASIA Onlus,,
Cook Islands Red Cross Society,,
Reach Out,,
Center for Civic Engagement and Community Service - American University of Beirut,,
Parroquia Jesus Redentor,,
DDPS,,
CORE Group Inc.,,
"Solidarité, Urgence, Developpement",,
Danish Production School,,
Partnership Africa Canada,,
Expertise France,,
Sécurité civile,,
Kölnische Franziskanerprovinz Von Den Heiligen Drei Königen,,
Pax Christi e.V,,
Nos Petits Frères et Sœurs - Haiti,,
BMVg,,
EADRCC - Euro-Atlantic Disaster Response Coord.Centre,,
Pastoral Social,,
Danish Association for International Co-operation,,
South Sudan Law Society,,
Alawn Foundation for Development,,
INTERMON,,
Democracy School,,
MOVIMONDO,,
International Aid Services Denmark,,
Scanagri,,
Mercy Ships,,
University of Colorado,,
Honduras Comité Permanente de Contingencias,,
AICF-F,,
Agri-Systems,,
Somali Red Crescent Society,,
"Plateforme d""insertion par l""humanitaire",,
Community Aid Abroad,,
Arizona State University,,
International Committee for the Development of Peoples,,
Congressional Hunger Center,,
Valid International,,
London School of Hygiene and Tropical Medicine,,
Columbia University,,
Alliance Nationale Contre la Faim et la Malnutrition,,
Swedish Committee for Afghanistan,,
Japan Rescue Association,,
Potsdam Kommunikation,,
Medical Research Council,,
Mauritanian Red Crescent,,
Belize Red Cross Society,,
Japanese Red Cross Society,,
European Union trust fund Bekou in CAR,,
World Vision Viet Nam,,
Misereor,,
Indian Red Cross Society,,
Fondation de l'Ordre de Malte pour le Liban,,
United Nations Humanitarian Air Service | World Food Programme,,
Riverine Relief Program,,
Missionszentrale der Franziskaner e.V.,,
Arab Gulf Programme for United Nations Development Organizations,,
Gazze Destek Derneği (Gaza Support Association),,
Al-Sabeel Foundation for Social Development,,
Kuwaiti Society for Relief,,
The Saudi Development and Reconstruction Program for Yemen,,
Kazakh Red Crescent Society,,
Red Crescent Society of Azerbaijan,,
National Disaster Risk Management Fund,,
InWent,,
Afghan Red Crescent,,
Denmark,,
Ukraine Humanitarian Fund,,
Burkinabe Red Cross Society,,
SHA/NRE,,
World Food Programme | Food & Agriculture Organization of the United Nations,,
World Food Programme | United Nations Humanitarian Air Service,,
Disasters Emergency Committee Cyclone Idai,,
United Nations Children's Fund | Première Urgence (until 2010),,
Abyan Youth Foundation,,
Partners in Rural Development,,
Bollore Logistics USA Inc.,,
GECONKFOR/CIMIC,,
ORA International Lobito,,
Zionist Organization of America,,
Nomadic Assistance for Peace and Development,,
Latvia,,
European Centre for Common Ground/Common Ground,,
"Syria Resilience Consortium (CARE, DRC, HI, IRC, NRC & Mercy Corps)",,
Education Cannot Wait Fund,,
"Water, Environment and Sanitation Society",,
Kuwait Joint Relief Committee,,
Saint Barbara Foundation,,
Green Belt Initiative,,
Rural Health Services,,
GFC,,
UN Mine Action Program,,
Agglobe Services International and the Korean Unpasan General Trading Company,,
"Tetra Tech, Inc.",,
Movement Centre of Jeju Citizen to Cooperation between South and North,,
Korea Campus Crusade for Christ,,
Presbyterian Church of Korea,,
Hoffnungszeichen - Sign of Hope e.V,,
Global Fire Monitoring Centre,,
Lao (People's Democratic Republic),,
Children of One World (Bir Dünya Çocuk),,
Organization of Islamic Cooperation,,
European Investment Bank,,
United Nations Verification and Inspection Mechanism for Yemen,,
PALLADIUM INTERNATIONAL PTY LTD,,
Ethiopian Red Cross Society,,
Kiribati,,
European Commission Civil Protection Mechanism,,
Hpa-an Orthoqaedic Rehabilitation Centre,,
European Commission - EU Facility for Refugees in Turkey,,
Sabou Guinee,,
"Consortium for Southern Africa Food Security Emergency (World Vision, CARE, CRS, & ADRA)",,
HHB,,
Aid for Central Africa,,
Komitee Arzte,,
Northwest Medical Teams International,,
O.K.I General Trading L.L.C.,,
Burundi,,
GMAC,,
WISAG,,
Danish Emergency Relief Fund,,
Brazil,,
Swedish Groups of Africa,,
Fundación Entreculturas - Fe y Alegría,,
Angola,,
Iraqi Red Crescent Society,,
Al Sham Humanitarian Foundation,,
Zimbabwe Red Cross,,
Menschen Gegen Minen,,
Mauritius,,
United Nations Operational Satellite Applications Programme,,
ROSSAIR,,
Association of Southeast Asian Nations,,
Hellenic Red Cross,,
Namibia Red Cross,,
Food & Agriculture Organization of the United Nations | World Food Programme,,
University of Applied Sciences Northwestern Switzerland (Fachhochschule Nordwestschweiz FHNW),,
The Association for Specialist Fire Protection (ASFP),,
Association for People's Cooperation between South and North Korea,,
Benin Red Cross Society,,
"Gambian Red Cross Society, The",,
Real Relief,,
Commission Nationale des Droits de l’Homme de Mauritanie,,
Islamic Relief Worldwide | Almassar Charity organization for Nomad’s Development and Environmental Conservation,,
PSF-France/Clermont-Ferrand,,
Chilean Red Cross,,
"Charity Foundation ""Lona""",,
Deutsche Welthungerhilfe e.V. (German Agro Action) | Concern Worldwide | Agency for Technical Cooperation and Development,,
Associazione per la cooperazione internazionale e l'aiuto umanitario,,
UN Economic Commission for Latin America,,
Islamic Development Bank,,
Global Aid Network,,
Sedec-Hudec,,
Pharmaciens Sans Frontieres - Comite International,,
Regional Development and Protection Programme in the Middle East,,
Djibouti Red Crescent Society,,
Lions Clubs International Foundation,,
Saga Falabella,,
Plan Haiti,,
ASSODLO - Assoc. Haïtienne pour la Maîtrise des Sols et des Eaux,,
CPH - Comité Protos Haïti,,
FTHS,,
University of Maryland Eastern Shore,,
Red Cross Society of the Democratic People's Republic of Korea,,
Zambia Red Cross Society,,
Multi-Partner Trust Fund,,
Multinational Interim Force,,
Comunità Impegno Servizio Volontariato,,
Jamia Darussalam,,
Al-Jamia Saadatul Uloom Trust,,
Kandil Development and Aid Association (Kandil Kalkınma ve Yardımlaşma Derneği),,
Sebil Insani Yardim Dernegi,,
Islamic Committee of the International Crescent,,
Foundation for European Development Assistance,,
Espana con ACNUR,,
Afghanischer Arzteverein in Deutschland e.V.,,
Senegalese Red Cross Society,,
Arab Red Crescent and Red Cross Organization,,
Sierra Leone Red Cross Society,,
Sweet Mickey Foundation,,
Selah Foundation for Development,,
ONG Alwafa,,
Action pour la Promotion de l’Environnement Social,,
ProVention,,
Comité pour le Développement et Assistance Humanitaire,,
"Groupe Africain de Déminage, Développement et Environnement",,
Action pour la Promotion de la Santé de la Mère et de l’Enfant,,
College Suisse/Fondation S.O.S,,
Synaps information Agency,,
Baw Di Ah Lin,,
Angola Red Cross,,
The KonTerra Group,,
The Nature Conservancy,,
Action Locale pour un Développement Participatif et Autogéré,,
Youth Outreach Programme,,
Global Forum for the Defence of the Less Privileged,,
Ajialouna Organization,,
La Santé et l'Education pour un Encadrement au Développement,,
El Obeid,,
IMPACT Iraq,,
Afaq Academy,,
Association rwandaise des conseillers en traumatisme,,
Medical Relief for Syria,,
UN agencies and NGOs (details not yet provided),,
Initiative Développement,,
Hôpital de la Charité d'Oulan-Bator,,
WeWorld - Gruppo Volontariato Civile Onlus,,
Mooblen United Community Organization,,
United Nations Joint Logistics Centre,,
Nahd Developmental Foundation,,
Muslim Community of Albania,,
CARE Bangladesh,,
NGO Proliska,,
Caritas Ukraine,,
Finnish Refugee Council,,
Plan International Bangladesh,,
Syrian Humanitarian Institute for National Empowerment,,
World Food Programme | United Nations Relief and Works Agency for Palestine Refugees in the Near East | United Nations High Commissioner for Refugees,,
Doctors of the World Turkey ( Dünya Doktorları Derneği ),,
Antenna Technologies Grands Lacs (ATGL),,
Comité de Coordination des ONG,,
MEN,,
Food for the Poor,,
NGOs (details not yet provided) | United Nations,,
Montenegro,,
Botswana,,
Danish Ethiopian Mission,,
Humanitäre Hilfe für,,
Next Step Productions,,
Romania,,
Seychelles,,
Belarus,,
Uzbekistan,,
Organization for Relief and Development,,
Human Development Concern,,
KAAH Relief and Development Organization,,
Balad Organization,,
Alseeraj for Development and Healthcare,,
University of Greenwich,,
Comité de Secours Internationaux,,
Proyecto Esperanza,,
Relief Experts Association,,
ALWAHAH FOR EDUCATION and WELFARE Foundation,,
Cyprus,,
Handicap International/ANS,,
COVID-19 Humanitarian Thematic Fund,,
Project HOPE,,
Afghan Amputee Bicyclists for Rehabilitation And Recreation,,
Look Inside Foundation,,
SaferAfrica,,
Federation of Women Lawyers in Kenya,,
Agency for Development and Aid,,
African Mission in Burundi,,
Switzerland,,
Action for Social Development,,
SKT Organization,,
Woman Support Association (Formerly International Supporting Woman Association),,
Uluslararasi Insani Yardimlasma Dernegi,,
Independent Doctors Association (Bağımsız Doktorlar Derneği),,
Ahl Horan Organization,,
Uruguay,,
Nicaragua,,
Al Resala Foundation,,
Syria Relief and Development Organization (Sosyal Refah Derneğı),,
Space of Peace,,
Ataa Humanitarian Relief Association,,
Saed Charity Association,,
Syrian Engineers for Construction and Development,,
CDE - University Berne,,
Solidarités International | Action Contre la Faim,,
Evangelical Development Programme,,
Lichtbrücke e.V,,
NETZ,,
Africa Educational Trust,,
Tibet House Trust,,
Palestine Solidarity Organisation in Sweden,,
AWWD,,
Committee for the Promotion of Medical and Humanitarian Aid in Afghanistan,,
"International Centre for Diarrhoeal Disease Research, Bangladesh",,
Nachbar in Not,,
Swedish Convenant Church,,
AH Dames Suisse,,
United Nations Transitional Authority in East Timor,,
Norwegian Search and Rescue,,
World Animal Protection,,
German Doctors for Developing Countries,,
Japan Overseas Cooperation Volunteers,,
Grenada,,
International Crisis Group,,
Nordic International Rescue Foundation,,
University of Geneva,,
Kenya Land Alliance,,
Halo Partnership,,
Physicians for Human Rights,,
Office of Preparedness for Disasters and Emergencies,,
"Société Axis, Centre orthopédique d'Assomption",,
United States Catholic Conference,,
Qandil Swedish Humanitarian Aid Organization,,
NIISO,,
African Union Mission in Sudan,,
Emergency Relief International,,
ACT Alliance / Ethiopian Orthodox Church,,
Yasska Foundation,,
SAF - Science and Arts Foundation,,
JCS - Joint Christian Services,,
Haukari e.V,,
Hilfsgemeinschaft Lippe e.V,,
United Nations International Drug Control Programme,,
Management Services for Health,,
Institute for International Social Affairs,,
Victims of Torture,,
Agency for rehabilitation and Energy-Conservation in Afghanistan,,
Monitoring Evaluation And Training Agency,,
RONCO Consulting Corporation,,
Afghan Center,,
Kinder brauchen uns e.V,,
Matrix,,
Helfende Hände e.V.,,
Balkanactive van de gemeenten,,
Freundschaftsbrucke-Kinder der Perestroika e.V,,
Hilfe fur Kinder in Not e.V,,
Rape Crisis Centre,,
Housing and Property Directorate,,
Danish People's Relief Association,,
Georg Dechentreiter Wohlfahrtsstiftung,,
International Alliances,,
Mala Sirena,,
America's Development Foundation,,
Arbeiterwohlfahrt Bayern,,
Hammer Forum e.V,,
VEH,,
VEH/HAD,,
Commission of Real Property Claims,,
Sezam,,
Werkgroep Nederland Srebrenica,,
WEUDAM - WEU De-mining Assistance Mission,,
Lutherischer Weltbund Deutsches Nationalkomitee,,
Action for Independent Media,,
World Conference on Disaster Reduction,,
Danube Commission,,
International Commission on Missing Persons,,
IHS,,
Centre palestinien des droits de l'homme,,
Four Homes of Mercy,,
Canadian Development and Peace,,
Las Dignas,,
Ottawa Convention Sponsorship Programme,,
Mediothek für Afghanistan e.V,,
Tamil Rehabilitation Organisation,,
International Relief Teams,,
EXNORA,,
Malaysia Red Crescent Society,,
Foundation for Co-existence,,
Norwegian Tamils Health Organisation,,
IOGT-NTO,,
Spain,,
South African Red Cross Society,,
Nurani Dunia,,
Hrúz,,
BMI,,
Malta Red Cross Society,,
Seychelles Red Cross Society,,
Saúde em Português,,
Nathan Associates,,
Millenium Project Hunger Task Force,,
European Commission's Humanitarian Aid and Civil Protection Department,,
Slovak Red Cross,,
Danish Bilharziasis Laboratory,,
SOS Malta,,
IBM,,
Danish Refugee Board,,
Volunteer Corpes-Greek Firemen Replanters,,
Mongolian Red Cross,,
Somalischer Verein e.V.,,
Basic Needs,,
Heart Doctors,,
European Perspective,,
Scottish Catholic International Aid Fund,,
Soroptimist International,,
SSB,,
Guyana,,
Guyana Red Cross Society,,
PHRO - Palestinian Human Rights Organisation,,
Commonwealth Secretariat,,
OCAPROCE,,
ROPKA International,,
Disaster Mitigation Institute,,
American Center for International Labor,,
Stromme Foundation,,
Foundation Together,,
Aide et Action,,
Peace and Conflict Institution,,
Serbia and Montenegro,,
Inter-American Development Bank,,
Gifts in kind International,,
Health Partners International Canada,,
World Vision El Salvador,,
Crisis Management Initiative,,
European Centre for Conflict Prevention,,
Afghanistan-Hilfe e.V.,,
ATLAS,,
Coalition for International Justice,,
Dialog International e.V.,,
Cook Islands,,
Comité de bienfaisance assyrien,,
Centre de Réflexion Europe Afrique,,
Fundación Amalaka,,
Help the Aged,,
Timor Leste,,
Voluntary Health Association of India,,
SurfAid,,
Douleurs san Frontières,,
Root of Grass,,
Handicap International France,,
NAC,,
WSP International,,
Foundation Politeon,,
Oeuvres hospitalières françaises de l'Ordre de Malte,,
SIG - Canton's Industrial Services - Geneve (CH),,
Foundation Limmat,,
AIDER,,
WODRANS - Women Orphans and Disabled Rehabilitation Assoc. of New Sudan,,
Berne helps Lviv,,
UN Voluntary Fund for Indigenous Populations,,
Diocese of Rumbek,,
Berne University,,
HBN,,
JEOP - Joint Emergency Operation,,
KPR,,
African Development Bank,,
GORTA,,
Ibdesch Patenschaften,,
Aviation Assistance A/S,,
Deutsches Institute für Arztliche Mission,,
AASAA,,
ATAV - Assoc. Tsunami Aides aux Victimes,,
Edith Wilkins Hope Foundation,,
United Nations Office in Burundi,,
ICMA - International City/County Management Association,,
Emergency Organization Group Copenhagen,,
STARH Project,,
IQC TBD,,
Church of the Living God International,,
Organization for African Unity,,
Genesis Software,,
Tear Australia,,
South Sudanese Development Organization,,
PRB,,
"Liberia Dujar Association, Sweden",,
Operation USA,,
American Jewish World Service,,
International Aid,,
Episcopal Relief and Development,,
ACT Alliance / Christian Reformed World Relief Committee (Valid until August 2012),,
INMED Partnership for Children,,
Baptist World Aid,,
World Hope International,,
International Reading Association,,
Self Employment Womens' Association,,
Soeurs missionnaires de la charite (Mere Teresa),,
Riverside Technologies Inc.,,
Trickle  Up Program,,
Refugees International,,
U.S. Committee for Refugees and Immigrants,,
Danish International Life Saving Association,,
Karl Kubel Foundation for Children's Families,,
Seismic Risk Assessment and Mitigation in the Antakya-Maras Region,,
Société Algérienne de Recherche en Psychologie,,
Foyer Maurice Sixto,,
International Development and Relief Foundation,,
Canadian Food for the Hungry International,,
"United Nations Mission in the DRC (Mission d'Observation des Nations Unies au Congo, MONUC)",,
Stonepath Logistics,,
Checci & Company,,
Air Cargo Associates,,
Canadian Baptist Ministries,,
Canada,,
HIVOS,,
CRIC - Centro Regionale di Intervento per la Cooperazione,,
Greek Committee For International Democratic Solidarity,,
Mine Action Canada,,
TIRUS - Maluku network of NGOs,,
Joint Christian Services International,,
SOS Faim,,
World Jewish Aid,,
Healthnet International - Malaria Leishmaniasis Control Programme,,
Red Cross of Monaco,,
Swedish Lutheran Aid,,
Progedes-Nicaragua,,
Belarusian Red Cross,,
Monaco Aide et Presence,,
United Nations Advance Mission in Sudan,,
DZI - German Central Institute for Social Issues,,
United Way International,,
Give World,,
Romanian Red Cross,,
Thai Tsunami Victim Identification Group,,
Human Development Foundation,,
Comité Français pour la Solidarité,,
Fondation de France,,
Partage,,
Un Enfant Par La Main,,
Asmae Soeur Emmanuelle,,
Bureau International Catholique de l'Enfance,,
Collectif Asie Enfants Isolés,,
Emmaüs International,,
Guilde du Raid,,
Enfants et Développement,,
Red Crescent Society of Kyrgyzstan,,
Voluntary Service Overseas,,
Flüchtlingshilfe Langen e.V.,,
ACT Alliance / Amity Foundation,,
National Peace Corps Association,,
British Agencies Afghanistan Group,,
Caritas India,,
Star of Hope,,
Swiss Centre for International Health,,
"Association for Cooperation, Interchange and Culture",,
CARAES,,
International Institute of Tropical Agriculture,,
EuronAid,,
Lighthouse Association,,
Association of Medical Doctors of Asia International,,
Deniz Feneri Yardimlasma ve Dayanisma Dernegi,,
Rural Support Programmes Network,,
Primate's World Relief and Development Fund,,
Irish UNMIL Battalion,,
Slavik,,
International Humanitarian Fund LIBA,,
TGK Consult,,
Open Continent,,
ASUR - Appui aux populations déplacées,,
People in Peril,,
Foster Parents Plan Canada,,
Canadian Relief Foundation,,
AMICA e.V,,
United Nations Special Court for Sierra Leone,,
United Nations Mission in Sudan,,
ACT Alliance / Christian Aid Ministries Nehemia,,
Central African Red Cross Society,,
