Recipient.Organization,recipientcodename,year
African Development and Emergency Organisation,NGOs,
Aamin Organization,NGOs,
Mubarak for Relief and Development Organization,NGOs,
Comitato Europeo per la Formazione in Agricoltura,NGOs,
Holt International Childrens Services,NGOs,
Abraham's Oasis,NGOs,
International Peace and Cooperation Center (IPCC),NGOs,
Future of Orphans,NGOs,
Actions pour le Developpement Integre en Mileu Rural,NGOs,
CARITAS DUNGU,NGOs,
Ninôs del Cusco,NGOs,
Aid for Refugees and Orphans,NGOs,
Mercy Relief,NGOs,
Consortium of British Humanitarian Agencies,NGOs,
Clowns without Borders,NGOs,
"Nuba Mountain Relief, Rehabilitation and Development Organization",NGOs,
Aragti Relief and Development Organization,NGOs,
Afghan Mobile Reconstruction Association,NGOs,
Solidar,NGOs,
Solidarité Syndicale - Luxembourg,NGOs,
TECHO,NGOs,
Bright Future Organization,NGOs,
Response International,NGOs,
Southern Alliance for Indigenous Resources,NGOs,
Access Aid and Development,NGOs,
International Action Network on Small Arms,NGOs,
World Organisation Against Torture,NGOs,
Caritas Katanga,NGOs,
Apostolic Christian World Relief,NGOs,
Islamic Charity Association,NGOs,
ACT Alliance / United Church of Canada,NGOs,
Emmanuel International of Canada,NGOs,
The Palestine Solidarity Association in Sweden,NGOs,
Community Bridge Initiative,NGOs,
DIA - Social Justice in Development,NGOs,
Community Health and AIDS Mitigation Project,NGOs,
Santé pour le Développement et la Stabilité dHaïti,NGOs,
Forward Edge International,NGOs,
Hands Together,NGOs,
World Care,NGOs,
Esperanza International Foundation,NGOs,
"Planned Parenthood Federation, International",NGOs,
Plan Benin,NGOs,
Cross International Cathoilc Outreach,NGOs,
Urgence Rehabilitation et Developpement,NGOs,
Organisation Marocaine Des Droits de l'homme,NGOs,
Burundikids e.V.,NGOs,
Las Qorey Concern,NGOs,
Disaster Relief Agency,NGOs,
Associazione per la Participazione allo Svillupo,NGOs,
Landmine Survivors Initiatives,NGOs,
Association for Empowerment of Persons with Disabilities,NGOs,
ACT Alliance / Sudan Council of Churches,NGOs,
Health Alliance International,NGOs,
Al-Amal Charity Organization for the Disabled,NGOs,
Mingalar Myanmar,NGOs,
Action for Community Transformation Organization - Afghanistan,NGOs,
Promoting Recovery in Zimbabwe,NGOs,
Namibia CARES Movement,NGOs,
Agency for Peace and Development,NGOs,
Horn of Africa Organization for Protection of Environment and Improvement of Livelihoods,NGOs,
Somaction,NGOs,
Northern Aid,NGOs,
Helpage Programme - RD Congo,NGOs,
Shilale Rehabilitation and Ecological Concern,NGOs,
Active Development Aid,NGOs,
The Swedish Organisation for Individual Relief,NGOs,
MPDL - PRTM,NGOs,
Association Develop Horn,NGOs,
Wabi Shelbelle Development,NGOs,
Cooperazione Internazionale Sud Sud,NGOs,
Gargaaar Relief and Development Organization,NGOs,
ACT Alliance / Life With Dignity,NGOs,
Arab Fund for Human Rights,NGOs,
Bulay Development Organization,NGOs,
Access Development and Relief Organization,NGOs,
Eastern Community Development and Humanitarian Organization,NGOs,
Upper Nile Kalaazar Eradication Association,NGOs,
Somali Community Development Foundation,NGOs,
Viva Rio,NGOs,
Sports and Cooperation Network,NGOs,
All Hands Volunteers (previously Hands On Disaster Response),NGOs,
International Lifeline Fund,NGOs,
Sad Africa,NGOs,
Satunama,NGOs,
Somaliland community development Organization,NGOs,
Corporación Desarollo y Paz del Magdalena Medio,NGOs,
Sudan Integrated Mine Action Service,NGOs,
Myanmar NGO Contingency Plan Steering Committee,NGOs,
Afghan Global Development Organization,NGOs,
Mavambo Orphan Care,NGOs,
Azza Women Association,NGOs,
STC-NOR,NGOs,
Aga Khan Foundation Tajikistan,NGOs,
Baptist Aotearoa NZ Aid,NGOs,
Jubaland Development Organization,NGOs,
Radanar Ayar Association,NGOs,
Forum for African Women Educationalist Gambia Chapter,NGOs,
Danish Refugee Council/AFS Danish People's Aid,NGOs,
Khushal Awareness and Development Organization,NGOs,
Young Welfare Society,NGOs,
Society for Community Development,NGOs,
"Society for the Advancement, Community, health, Education and Training",NGOs,
Shah Sachal Sami Foundation,NGOs,
Sath Development Organization,NGOs,
Sahkar Dost Welfare Association,NGOs,
Rural Development Initiative Pakistan,NGOs,
Roshni Development Organization,NGOs,
Pattan Development Organization,NGOs,
Participatory Integrated Development Society,NGOs,
Organization for Social Development Initiatives,NGOs,
National Integrated and Development Association (NIDA-Pakistan),NGOs,
Kohsar Welfare and Educational Society,NGOs,
Kher Khegara Tanzeem,NGOs,
Innovative Development Organization,NGOs,
Diamer Poverty Alleviation Programme,NGOs,
Cavish Development Foundation,NGOs,
Balochistan Environmental and Educational Journey,NGOs,
Association of Development Awareness and Motivation,NGOs,
Women Welfare Organization Poonch,NGOs,
Initiative for Change,NGOs,
Shining Light Community Development Organization,NGOs,
Hope Worldwide,NGOs,
Aman Organization,NGOs,
Australian Volunteers International,NGOs,
Collaborative for Development Action,NGOs,
Human Help Network e.V.,NGOs,
Danish De-mining Centre,NGOs,
Bakpiny Community Development Agency,NGOs,
Coof Havanna,NGOs,
REA - Réhabilitation  Education Aide social,NGOs,
Inter-Actions,NGOs,
Acehs People Forum,NGOs,
Fact Mutare,NGOs,
Environment Africa,NGOs,
Mildmay,NGOs,
"Citizens' Disaster Response Center, Inc",NGOs,
Vie Sacree,NGOs,
Actions pour la Protection et lEncadrement de lEnfant,NGOs,
Save and Serve,NGOs,
Association Francois-Xavier Bagnoud,NGOs,
Coalition of Dutch NGOs,NGOs,
Development Frontiers International,NGOs,
Iftiin Education and Development,NGOs,
Association pour le développement social et la sauvegarde de l’environnement,NGOs,
HOPE’87 – Hundreds of Original Projects for Employment,NGOs,
Aide à l''Enfance de l''Inde,NGOs,
Association d'aide à la femme et de la communication,NGOs,
Secours Catholique – Caritas France,NGOs,
Associazione Amici dell’Oasis Togo,NGOs,
Groupement des Artisans ruraux d’INTADENE-GARI,NGOs,
Comité d’Appui à l’Auto Promotion,NGOs,
Fonds d’Intervention pour le Développement,NGOs,
Watan’s Social Technical Services Association,NGOs,
Federación Internacional Fe y Alegría,NGOs,
"Pakistan Rural Initiative for Emergency Preparedness, Response and Development",NGOs,
Òganizasyon Fanm tou Nèf Balan,NGOs,
Reach Alternatives (formerly Japan Center for Conflict Prevention),NGOs,
Almassar Charity organization for Nomad’s Development and Environmental Conservation,NGOs,
"Groupe antiraciste d’accompagnement, et de defense des étrangers et migrants",NGOs,
France Terre d’Asile,NGOs,
Women Empowerment Organization - Iraq,NGOs,
Support Agency for Rural and Human Association’s Development,NGOs,
Young Men’s Christian Association,NGOs,
TAJDID Iraq Foundation for Economic Development,NGOs,
Mission Inclusion (formerly Léger Foundation),NGOs,
Association Elyed Eloulya pour l’Aide des Necessiteux et la Protection des Enfants,NGOs,
Middle East Children’s Institute,NGOs,
KSPM-ERP Integration Centre for Migrant Workers – Ecumenical Refugee Program,NGOs,
Associazione Solidarietà e lo Sviluppo - Confederazione Italiana Agricoltori,NGOs,
Associazione Italiana per la Solidarietà tra I Popoli,NGOs,
Comprehensive Health and Education Forum (CHEF) International,NGOs,
Centre de Développement Intégral pour l’Enfant Rural,NGOs,
ACT Alliance / Community World Service Asia,NGOs,
METAdrasi – Action for Migration and Development,NGOs,
Fondazione “Opera San Francesco Saverio” CUAMM,NGOs,
Stanisława Bieńczak Child Support Foundation (Fundacja Pomocy Dzieciom im. Stanisławy Bieńczak),NGOs,
Plan International Mali,NGOs,
Nos Petits Frères et Sœurs - Haiti,NGOs,
Gazze Destek Derneği (Gaza Support Association),NGOs,
Zionist Organization of America,NGOs,
"Water, Environment and Sanitation Society",NGOs,
Children of One World (Bir Dünya Çocuk),NGOs,
Fundación Entreculturas - Fe y Alegría,NGOs,
Commission Nationale des Droits de l’Homme de Mauritanie,NGOs,
Islamic Relief Worldwide | Almassar Charity organization for Nomad’s Development and Environmental Conservation,NGOs,
Deutsche Welthungerhilfe e.V. (German Agro Action) | Concern Worldwide | Agency for Technical Cooperation and Development,NGOs,
Comunità Impegno Servizio Volontariato,NGOs,
Kandil Development and Aid Association (Kandil Kalkınma ve Yardımlaşma Derneği),NGOs,
ONG Alwafa,NGOs,
Action pour la Promotion de l’Environnement Social,NGOs,
Comité pour le Développement et Assistance Humanitaire,NGOs,
"Groupe Africain de Déminage, Développement et Environnement",NGOs,
Action pour la Promotion de la Santé de la Mère et de l’Enfant,NGOs,
Baw Di Ah Lin,NGOs,
The Nature Conservancy,NGOs,
Action Locale pour un Développement Participatif et Autogéré,NGOs,
Youth Outreach Programme,NGOs,
Global Forum for the Defence of the Less Privileged,NGOs,
Ajialouna Organization,NGOs,
La Santé et l'Education pour un Encadrement au Développement,NGOs,
IMPACT Iraq,NGOs,
Afaq Academy,NGOs,
Medical Relief for Syria,NGOs,
WeWorld - Gruppo Volontariato Civile Onlus,NGOs,
Mooblen United Community Organization,NGOs,
Nahd Developmental Foundation,NGOs,
Muslim Community of Albania,NGOs,
CARE Bangladesh,NGOs,
NGO Proliska,NGOs,
Finnish Refugee Council,NGOs,
Plan International Bangladesh,NGOs,
Syrian Humanitarian Institute for National Empowerment,NGOs,
Doctors of the World Turkey ( Dünya Doktorları Derneği ),NGOs,
Comité de Coordination des ONG,NGOs,
NGOs (details not yet provided) | United Nations,NGOs,
Organization for Relief and Development,NGOs,
Human Development Concern,NGOs,
KAAH Relief and Development Organization,NGOs,
Balad Organization,NGOs,
Alseeraj for Development and Healthcare,NGOs,
Comité de Secours Internationaux,NGOs,
Proyecto Esperanza,NGOs,
Relief Experts Association,NGOs,
ALWAHAH FOR EDUCATION and WELFARE Foundation,NGOs,
Handicap International/ANS,NGOs,
Afghan Amputee Bicyclists for Rehabilitation And Recreation,NGOs,
Look Inside Foundation,NGOs,
Agency for Development and Aid,NGOs,
Action for Social Development,NGOs,
SKT Organization,NGOs,
Woman Support Association (Formerly International Supporting Woman Association),NGOs,
Uluslararasi Insani Yardimlasma Dernegi,NGOs,
Independent Doctors Association (Bağımsız Doktorlar Derneği),NGOs,
Ahl Horan Organization,NGOs,
Al Resala Foundation,NGOs,
Syria Relief and Development Organization (Sosyal Refah Derneğı),NGOs,
Space of Peace,NGOs,
Ataa Humanitarian Relief Association,NGOs,
Saed Charity Association,NGOs,
Syrian Engineers for Construction and Development,NGOs,
Solidarités International | Action Contre la Faim,NGOs,
Bureau des œuvres médicales diocésaines (BDOM),NGOs,
Liberia,National government,
Federation des ONG laiques à Vocation Economique du Congo,NGOs,
Indivduell Mànniskohjàlp - Swedish NGO,NGOs,
Wadi - Association for Crisis Assistance and Development Co-operation,NGOs,
Psykisk Helsevern Østfold HF v/ Norum,NGOs,
China Centre for Disease Control and  Asia-Australia Mental Health,NGOs,
IGMAN – Acció Solidària,NGOs,
Centre spécialisé d'appui à la promotion et à la modernisation de l'élévage,NGOs,
Frontiers Ruwad Association,NGOs,
Aide à l'Enfance de Canada,NGOs,
AÏNA (Afghanistan),NGOs,
Ärzte ohne Grenzen e.V.,NGOs,
Aceh’s People Forum,NGOs,
Groupe d’Action pour la Promotion de la Femme,NGOs,
Actions pour la Protection et l’Encadrement de l’Enfant,NGOs,
Bibliothèques Sans Frontières,NGOs,
Malteser Lviv,NGOs,
Point Online,NGOs,
Reaching People in Need,NGOs,
Aid Link South Sudan,NGOs,
Mental Health Service,NGOs,
"Association of Professionals in Conflict Resolution and Psychosocial Support ""Words Help""",NGOs,
Habitat For Humanity Haiti,NGOs,
Centres pour le Développement et la Santé,NGOs,
Association pour la Promotion de la Famille Haïtienne,NGOs,
Future Pioneers for Empowereing Communities,NGOs,
The Lebanese Center for Human Rights,NGOs,
"COSACA (Consortium CARE International, Oxfam and Save the Children)",NGOs,
Dividendo Voluntario para la Comunidad,NGOs,
Organisation Humanitaire pour l’Urgence et le Développement,NGOs,
Baghdad Organization for Removing Mines and Cluster Bombs,NGOs,
Meals4Hope,NGOs,
Emergency Development Network,NGOs,
Solidarité Internationale pour l'Afrique,NGOs,
Universidad Central de Venezuela | Alimenta La Solidaridad,NGOs,
CARE Turkey,NGOs,
Caritas Ukraine,NGOs,
Pakistan,National government,
Guatemala,National government,
Myanmar,National government,
"Korea, Democratic People's Republic of",National government,
Philippines,National government,
Palau,National government,
Samoa,National government,
Fiji,National government,
Sri Lanka,National government,
Afghanistan,National government,
Turkey,National government,
Jordan,National government,
"Palestinian territory, occupied",National government,
Armenia,National government,
Iran,National government,
Russian Federation,National government,
Cuba,National government,
Mozambique,National government,
Moldova,National government,
Tajikistan,National government,
Lebanon,National government,
Papua New Guinea,National government,
Viet Nam,National government,
Sierra Leone,National government,
Bolivia,National government,
Haiti,National government,
Access to Quality Education Program,National government,
National Primary Health Care Development Agency,National government,
Mali,National government,
Tanzania,National government,
Algeria,National government,
Ethiopia,National government,
Kenya,National government,
Zimbabwe,National government,
Bangladesh,National government,
Dominica,National government,
"Congo, Democratic Republic of",National government,
"Macedonia, Former Yugoslav Republic of",National government,
Mauritania,National government,
Djibouti,National government,
Azerbaijan,National government,
Yemen,National government,
Chad,National government,
Ghana,National government,
Egypt,National government,
Syrian Arab Republic,National government,
Indonesia,National government,
Sudan,National government,
Zambia,National government,
Eritrea,National government,
Venezuela,National government,
South Africa,National government,
Malawi,National government,
Solidarity Organization for Rehabilitation of Afghanistan,National government,
Burkina Faso,National government,
China,National government,
Lesotho,National government,
India,National government,
Niger,National government,
Rural Water and Sanitation Support Agency,National government,
Cambodia,National government,
Albania,National government,
Cameroon,National government,
Peru,National government,
Bulgaria,National government,
Rwanda,National government,
Thailand,National government,
Republic of South Sudan,National government,
Iraq,National government,
Senegal,National government,
Central African Republic,National government,
Ecuador,National government,
Serbia,National government,
Bosnia & Herzegovina,National government,
Programa de Reducción del Riesgo de Desastres,National government,
Saint Vincent and the Grenadines,National government,
Uganda,National government,
Morocco,National government,
Vanuatu,National government,
Tonga,National government,
Costa Rica,National government,
Lesotho Ministry of Agriculture and CARE Lesotho,National government,
Ukraine,National government,
Georgia,National government,
Cote d'Ivoire,National government,
Jamaica,National government,
Malaysia,National government,
Croatia,National government,
Mexico,National government,
Paraguay,National government,
Madagascar,National government,
Tuvalu,National government,
Nepal,National government,
"Micronesia,  Federated States of",National government,
Chile,National government,
El Salvador,National government,
Libya,National government,
Hungary,National government,
Kyrgyzstan,National government,
Ministry of Education and Higher Education,National government,
Jordanian National Commission for Women,National government,
Oman,National government,
Panama,National government,
Argentina,National government,
Namibia,National government,
Kazakhstan,National government,
Bahamas,National government,
Solomon Islands,National government,
Gambia,National government,
Maldives,National government,
Comoros,National government,
Benin,National government,
Yemen Higher Relief Committee,National government,
Saudi Arabia (Kingdom of),National government,
Unitad Nacional para la Gestion del Riesgo de Desastres,National government,
Colombia,National government,
Emergencies Unit for Ethiopia,National government,
Disaster Prevention and Preparedness Commission Ethiopia,National government,
King Salman Humanitarian Aid and Relief Center,National government,
Antigua and Barbuda,National government,
Saint Kitts and Nevis,National government,
Belize,National government,
Mongolia,National government,
Gaza Zakat Committee,National government,
Dominican Republic,National government,
Somalia,National government,
"Congo, Republic of",National government,
Honduras Comité Permanente de Contingencias,National government,
The Saudi Development and Reconstruction Program for Yemen,National government,
National Disaster Risk Management Fund,National government,
Latvia,National government,
Lao (People's Democratic Republic),National government,
Kiribati,National government,
Burundi,National government,
Brazil,National government,
Angola,National government,
Mauritius,National government,
El Obeid,National government,
Nicaragua,National government,
Romania,National government,
Grenada,National government,
Botswana,National government,
Guyana,National government,
Serbia and Montenegro,National government,
Cook Islands,National government,
Timor Leste,National government,
Belarus,National government,
Uruguay,National government,
Seychelles,National government,
Honduras,National government,
National Emergency Commission of Costa Rica,National government,
Instituto Colombiano de Bienestar Familial,National government,
Suriname,National government,
Maltese Aid Agency,National government,
Ministry of Rural Rehabilitation and Development Afghanistan,National government,
Coordinadora Nacional para la Reduccion de Desastres,National government,
Uzbekistan,National government,
Estonian Public Service Academy,National government,
Saint Lucia,National government,
Togo,National government,
Barbados,National government,
Bhutan,National government,
Gabon,National government,
Swaziland,National government,
Trinidad and Tobago,National government,
"Ministry of Agriculture, Irrigation and Livestock Afghanistan",National government,
Joint Saudi Committee for Kosovo Relief/Skopje,National government,
"Comite de crise ""Nyiragongo 2002""",National government,
Igarapé,National government,
Tunisia,National government,
Israel,National government,
Montenegro,National government,
Department of Settlement and Regional Infrastructure (Kimpraswil),National government,
National Space Agency of Ukraine,National government,
Bidan Kesehatan Department of Health Indonesia,National government,
Cyprus,National government,
Nauru,National government,
Stichting Vluchteling,foundations,
Democratic Control of Armed Forces,foundations,
Taiwan Tzu-chi Foundation Malaysia,foundations,
Kimse Yok Mu Solidarity Foundation,foundations,
Diakonia World Federation,foundations,
Purpose Foundation,foundations,
Euro-Mediterranean Foundation of Support to Human Rights Defenders,foundations,
Open Society Foundations,foundations,
The Rafto Foundation,foundations,
Tameer-e-Khalaq Foundation,foundations,
Department of Ecumenical Relations and Development,foundations,
Fondation Raoul Follereau,foundations,
Swisscontact,foundations,
Near East Foundation,foundations,
Open Society Institute Assistance Foundation,foundations,
Stiftung Deutsche Welthungerhilfe,foundations,
Stiftelsen for en kritisk og uavhengig presse,foundations,
Thomson Foundation,foundations,
Samir Kassir Foundation,foundations,
Heinrich Böll Foundation,foundations,
Suvannimit Foundation,foundations,
FAIRMED Foundation,foundations,
Ruedi Leuppi Stiftung Elfenbeinküste,foundations,
Fondation Luxembourgeoise Raoul Follereau,foundations,
Friends Foundation,foundations,
MOJAZ Foundation,foundations,
The Kvinna till Kvinna Foundation,foundations,
Global Medic,foundations,
Tomooh Association for Skills Development,foundations,
Philippine Jesuit Foundation,foundations,
Ernesto Sabato Foundation,foundations,
Noor Al Hussein Foundation,foundations,
GHESKIO Centers,foundations,
Fondation pour le Développement et l'Encadrement des Familles Haitiennes,foundations,
St. Boniface Haiti Foundation,foundations,
Relationships Foundation International,foundations,
International Renaissance Foundation,foundations,
UN Foundation,foundations,
International Dispensary Association,foundations,
Tompran Foundation,foundations,
FICASE,foundations,
The Tibet Fund,foundations,
Hirondelle Radio Okapi,foundations,
International Foundation for Election Systems,foundations,
Suwannimit Foundation,foundations,
Stiftung St. Barbara,foundations,
Foundation for the Refugee Trust,foundations,
Fondation Hirondelle,foundations,
Rockefeller Foundation,foundations,
TERMA FOUNDATION,foundations,
The Dui Hua Foundation,foundations,
Architectes de l'urgence,foundations,
Abdel Mohsen Qattan Foundation,foundations,
European Meeting Centre - Nowy Staw Foundation,foundations,
Khalifa Bin Zayed Al Nahyan Foundation,foundations,
Jiyan Foundation for Human Rights,foundations,
Léger Foundation,foundations,
Kofi Annan Foundation,foundations,
Digicel Foundation,foundations,
Kuwait Foundation for the Advancement of Science,foundations,
Eugene Bell Foundation,foundations,
Trauma Care Foundation,foundations,
Swiss Solidarity,foundations,
Foundation Signs,foundations,
Madad Organization,foundations,
Raf-Thani Foundation,foundations,
Bay Regional Education Committee,foundations,
Korean Welfare Foundation,foundations,
International Corn Foundation,foundations,
African Entrepreneur Collective,foundations,
Philippine Disaster Resilience Foundation,foundations,
Grand Challenges Canada,foundations,
Bill and Melinda Gates Foundation,foundations,
Limmatstiftung Zurich,foundations,
Fondation Internationale Carrefour,foundations,
Education Above All Foundation,foundations,
Alawn Foundation for Development,foundations,
Al-Sabeel Foundation for Social Development,foundations,
Abyan Youth Foundation,foundations,
Education Cannot Wait Fund,foundations,
Saint Barbara Foundation,foundations,
Green Belt Initiative,foundations,
Al Sham Humanitarian Foundation,foundations,
"Charity Foundation ""Lona""",foundations,
Lions Clubs International Foundation,foundations,
Sebil Insani Yardim Dernegi,foundations,
Foundation for European Development Assistance,foundations,
Sweet Mickey Foundation,foundations,
Selah Foundation for Development,foundations,
Nordic International Rescue Foundation,foundations,
Yasska Foundation,foundations,
SAF - Science and Arts Foundation,foundations,
Georg Dechentreiter Wohlfahrtsstiftung,foundations,
America's Development Foundation,foundations,
Foundation for Co-existence,foundations,
Nurani Dunia,foundations,
Stromme Foundation,foundations,
Foundation Together,foundations,
ATLAS,foundations,
Fundación Amalaka,foundations,
Foundation Limmat,foundations,
Foundation Politeon,foundations,
Edith Wilkins Hope Foundation,foundations,
Karl Kubel Foundation for Children's Families,foundations,
Human Development Foundation,foundations,
Fondation de France,foundations,
Canadian Relief Foundation,foundations,
Kinderdorf Pestalozzi,foundations,
Conrad N. Hilton Foundation,foundations,
Association libanaise de l'Ordre de Malte,foundations,
Global Health Foundation,foundations,
Fundacion de Beneficencia Capacitas,foundations,
Stiftelsen Oljeberget,foundations,
Norsk Fredssenter,foundations,
World Research Foundation,foundations,
Central Ecuatoriana de Servicios Agricolas,foundations,
Pan American Health and Education Foundation,foundations,
Tzu Chi Foundation,foundations,
Fondation Femmes plus,foundations,
Centre for Safety and Development,foundations,
Fundacion Paz - Holandesa,foundations,
Point of Peace,foundations,
Equilibre,foundations,
International Foundation for Education and Self Help,foundations,
Foundation Vida Peru,foundations,
Singapore International Foundation,foundations,
Fundación Apoyar,foundations,
ZAYED Foundation,foundations,
Rural Development Foundation,foundations,
Sewa Lanka Foundation,foundations,
Netherlands Refugee Foundation,foundations,
Regnskogfondet,foundations,
Solidarität Dritte Welt,foundations,
Stiftung Kasipiti,foundations,
FSS,foundations,
Fundación Mi Sangre,foundations,
Thai National AIDS Foundation,foundations,
IICD - International Institute for Communication and Development,foundations,
FUNDACION CIPPEC,foundations,
Mohamed Bin Rashid Al Maktoum Humanitarian and Charity Establishment,foundations,
FONDATION POUR L INSTITUT,foundations,
Fondasyon Kole Zepol,foundations,
Fundación Antonio Restrepo Barco,foundations,
Child Development Foundation,foundations,
Auschwitz-Birkenau Foundation,foundations,
Brother's Brother Foundation,foundations,
Walmart Foundation,foundations,
Clinton Foundation,foundations,
Ibon Foundation,foundations,
Fundacion Imagina,foundations,
Dinah Falala & Phoebe Sandi Foundation,foundations,
Community Foundation of Broward,foundations,
"Société Générale de Solidarité, S.A.",foundations,
Ngazi Moja Foundation,foundations,
SKUPAJ,foundations,
Taraqee Foundation,foundations,
Mobilink Foundation,foundations,
Al-Khidmat Foundation,foundations,
The Fund for Peace,foundations,
Al Maktoum Foundation,foundations,
Center for Citizenship Education,foundations,
Fondation Chreschte mam Sahel,foundations,
Grant Foundation,foundations,
Fondation Meninos e Meninas de Rua,foundations,
Stiftung des deutschen Instituts für Katastrophenmedizin,foundations,
Sungi Development Foundation,foundations,
The Survivor Network Foundation and People with Disability,foundations,
"Gift of the Givers Foundation (Pietermaritzburg, RSA)",foundations,
Foundation for the Future,foundations,
Antares Foundation,foundations,
Shifa Foundation,foundations,
Kenya Community Sports Foundation,foundations,
"Balay Mindanaw Foundation, Inc.",foundations,
Fundacion APY,foundations,
Foundation for the Peoples of the South Pacific International,foundations,
Awaz Foundation Pakistan Center for Development Services,foundations,
European Commission,EC,
EU Regional Trust Fund in Response to the Syrian Crisis (Madad Fund),EC,
Stability Pact,EC,
European Union trust fund Bekou in CAR,EC,
"Syria Resilience Consortium (CARE, DRC, HI, IRC, NRC & Mercy Corps)",EC,
European Commission Civil Protection Mechanism,EC,
European Commission - EU Facility for Refugees in Turkey,EC,
European Commission's Humanitarian Aid and Civil Protection Department,EC,
European Union Border Assistance Mission,EC,
European Agency for Reconstruction,EC,
MIC EU Civil Protection,EC,
EU Special Representative,EC,
PEGASE,EC,
Peace Corps Organization,DAC governments,
Deutsche Gesellschaft für Internationale Zusammenarbeit,DAC governments,
Swiss Development Cooperation/Swiss Humanitarian Aid,DAC governments,
Technisches Hilfswerk (THW),DAC governments,
Czech Republic,DAC governments,
Swedish Civil Contingencies Agency (MSB),DAC governments,
Coopération Humanitaire Luxembourg,DAC governments,
Peace Corps,DAC governments,
DKKV - German Committee for Disaster Reduction,DAC governments,
Meteorologisk Institutt,DAC governments,
Slovakia,DAC governments,
"Korea, Republic of",DAC governments,
Japan International Cooperation Agency,DAC governments,
Australian Community Assistance Scheme,DAC governments,
Australia,DAC governments,
Centers for Disease Control,DAC governments,
United States Agency for International Development,DAC governments,
New South Wales Relief Fund,DAC governments,
Germany,DAC governments,
National Oceanic and Atmospheric Administration,DAC governments,
Swiss Disaster Relief Unit,DAC governments,
Bundesanstalt Technisches Hilfswerk,DAC governments,
U.S. Forest Service,DAC governments,
Greece,DAC governments,
Japan,DAC governments,
Buco Cotonou,DAC governments,
KFW Development,DAC governments,
Italian Agency for Development Cooperation,DAC governments,
Italy,DAC governments,
Icelandic Crisis Response Unit,DAC governments,
Danish Assistance to the Self-Reliance Strategy,DAC governments,
Japan Self Defense Forces,DAC governments,
Sweden,DAC governments,
Integrationsrat,DAC governments,
Portugal,DAC governments,
ADA,DAC governments,
Belgian First Aid and Support Team,DAC governments,
DDPS,DAC governments,
Expertise France,DAC governments,
BMVg,DAC governments,
Denmark,DAC governments,
Danish Emergency Relief Fund,DAC governments,
Danish Ethiopian Mission,DAC governments,
Switzerland,DAC governments,
Norwegian Search and Rescue,DAC governments,
Office of Preparedness for Disasters and Emergencies,DAC governments,
Spain,DAC governments,
U.S. Committee for Refugees and Immigrants,DAC governments,
Canada,DAC governments,
DZI - German Central Institute for Social Issues,DAC governments,
Deutsches Komitee fur Katastrophenvorsorge e.V.,DAC governments,
France,DAC governments,
PLANAT,DAC governments,
Poland,DAC governments,
Norway,DAC governments,
Dutch International Aid,DAC governments,
Forsvarets forskningsinstitutt,DAC governments,
Norfund,DAC governments,
Italian Agency for Food Aid (AGEA),DAC governments,
ILR,DAC governments,
Deutscher Entwicklungsdienst,DAC governments,
Danish Fellowship Centre,DAC governments,
Statens Forurensningstilsyn,DAC governments,
"Leadership, Management and Sustainability Program",DAC governments,
New Zealand,DAC governments,
Danidas Health Sector Programme Support,DAC governments,
BUCO - CRONGD,DAC governments,
France Cooperation Internationale,DAC governments,
The Emergency Management Agency of Greater Copenhagen,DAC governments,
MS Denmark,DAC governments,
Centers for Disease Control and Prevention,DAC governments,
Disasters Emergency Committee Cyclone Idai,CERF,
Syrian Arab Republic Humanitarian Fund,CBPF,
Central African Republic Humanitarian Fund,CBPF,
Sudan Humanitarian Fund,CBPF,
Somalia Humanitarian Fund,CBPF,
Ethiopia Humanitarian Fund,CBPF,
Haiti Humanitarian Fund,CBPF,
Somalia ERF (until 2012),CBPF,
Myanmar Humanitarian Fund,CBPF,
Colombia Humanitarian Fund,CBPF,
occupied Palestinian territory Humanitarian Fund,CBPF,
Afghanistan ERF (until 2014),CBPF,
Yemen Humanitarian Fund,CBPF,
South Sudan Humanitarian Fund,CBPF,
Democratic Republic of the Congo Humanitarian Fund,CBPF,
Pakistan Humanitarian Fund,CBPF,
"Congo, Democratic Republic of the ERF (until 2013)",CBPF,
Indonesia ERF (until 2014),CBPF,
Kenya ERF (until 2014),CBPF,
Zimbabwe ERF (until 2014),CBPF,
Uganda ERF (until 2010),CBPF,
Iraq Humanitarian Fund,CBPF,
Afghanistan Humanitarian Fund,CBPF,
Syria Cross-border Humanitarian Fund,CBPF,
Lebanon Humanitarian Fund,CBPF,
Jordan Humanitarian Fund,CBPF,
Nigeria Humanitarian Fund,CBPF,
Ukraine Humanitarian Fund,CBPF,
Sudan ERF,CBPF,
South Sudan ERF (until 2014),CBPF,
PCPM - Polish Center for International Aid,academia/think/research,
Development Initiatives,academia/think/research,
Active Learning Network for Accountability and Performance,academia/think/research,
Economic Research Forum,academia/think/research,
American Academy of Pediatrics,academia/think/research,
B'Tselem - the Israeli Information Center for Human Rights in the Occupied Territories,academia/think/research,
RTI International (formerly Research Triangle Institute),academia/think/research,
Norsk senter for menneskerettigheter,academia/think/research,
Overseas Development Institute,academia/think/research,
Research Council of Norway,academia/think/research,
Universitetet i Oslo,academia/think/research,
University of Oxford - Refugee Studies Centre,academia/think/research,
Emergency Nutrition Network,academia/think/research,
Fiji Institution of Engineers,academia/think/research,
österreichisches Nord-Süd-Institut,academia/think/research,
